robot_id,window_id,hour_block,fault_type,fault_id,fault_severity,battery_soc_pct__mean,battery_voltage_v__mean,battery_voltage_soc_residual,battery_soc_5m_slope_pct_per_min,split_seed,score,threshold,predicted_anomaly,is_battery_fault
AR-001,487,8,clean,clean,0.0,15.815355583333334,42.994334566666666,1.2230147413333299,0.7075936333333335,20260400,2.2980173,2.3685436248779297,False,False
AR-001,488,8,clean,clean,0.0,16.48661895,43.06959895,1.2230976275999978,0.7005538766666668,20260400,2.2905667,2.3685436248779297,False,False
AR-001,489,8,clean,clean,0.0,17.220437866666668,43.14697091666667,1.218281875599999,0.7121949233333336,20260400,2.3210044,2.3685436248779297,False,False
AR-001,490,8,clean,clean,0.0,17.921227633333334,43.2296827,1.2225052050666676,0.7052891933333335,20260400,2.2925403,2.3685436248779297,False,False
AR-001,491,8,clean,clean,0.0,18.651570183333334,43.31357608333334,1.2246002228000066,0.7108138266666668,20260400,2.2818258,2.3685436248779297,False,False
AR-001,492,8,clean,clean,0.0,19.337863333333335,43.4318783,1.2660376066666643,0.7045015500000001,20260400,2.224138,2.3685436248779297,False,False
AR-001,493,8,clean,clean,0.0,20.03111535,43.5097168,1.2662318807999995,0.70889928,20260400,2.194537,2.3685436248779297,False,False
AR-001,494,8,clean,clean,0.0,20.765053233333333,43.5936329,1.2679469378666681,0.708923073333333,20260400,2.137458,2.3685436248779297,False,False
AR-001,495,8,clean,clean,0.0,21.472457666666667,43.6718919,1.2669766413333292,0.7102460066666666,20260400,2.0792756,2.3685436248779297,False,False
AR-001,496,8,clean,clean,0.0,22.2190372,43.756285299999995,1.2677531335999959,0.713493403333333,20260400,2.0309863,2.3685436248779297,False,False
AR-001,497,8,clean,clean,0.0,22.888398516666665,43.83268723333333,1.2691865994666642,0.7101070366666662,20260400,1.9950795,2.3685436248779297,False,False
AR-001,498,8,clean,clean,0.0,23.588882416666667,43.91070893333333,1.2687541026666622,0.7115534133333334,20260400,1.9714493,2.3685436248779297,False,False
AR-001,499,8,clean,clean,0.0,24.303966633333335,43.99015753333333,1.2681132704000007,0.7077826800000004,20260400,1.9164518,2.3685436248779297,False,False
AR-001,500,8,clean,clean,0.0,25.01969385,44.06859551666666,1.266389805466659,0.7094472366666664,20260400,1.9218315,2.3685436248779297,False,False
AR-001,501,8,clean,clean,0.0,25.7216304,44.15057951666667,1.269756911866665,0.70051864,20260400,1.9181366,2.3685436248779297,False,False
AR-001,502,8,clean,clean,0.0,26.43181245,44.230169483333334,1.2698064889333338,0.7086827866666667,20260400,1.9423953,2.3685436248779297,False,False
