event_time,resolved_time,split_seed,fault_id,fault_type,robot_id,duration_s,severity,severity_label,notes
2026-07-01 00:33:17+00:00,2026-07-01 00:40:04+00:00,20260408,accelerated_battery_degradation_seed20260408_event01,accelerated_battery_degradation,AR-001,407,0.6579040547198814,Moderate,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 01:05:41+00:00,2026-07-01 01:17:08+00:00,20260407,intermittent_software_hang_seed20260407_event01,intermittent_software_hang,AR-005,687,0.8545628179185981,Critical,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 01:06:10+00:00,2026-07-01 01:15:53+00:00,20260407,motor_stall_seed20260407_event01,motor_stall,AR-001,583,0.808122160640123,High,"Stalled drive: motor_current_rl_a; speed collapse, high current, rising thermal load."
2026-07-01 01:42:18+00:00,2026-07-01 01:54:24+00:00,20260405,gps_jitter_spoofing_seed20260405_event00,gps_jitter_spoofing,AR-002,726,0.8106189898340586,High,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 02:17:41+00:00,2026-07-01 02:27:48+00:00,20260404,gradual_sensor_drift_seed20260404_event02,gradual_sensor_drift,AR-002,607,0.7593671985690186,High,Ramp drift injected into IMU accel_z and gyro_z to mimic gradual calibration drift.
2026-07-01 02:22:13+00:00,2026-07-01 02:29:39+00:00,20260404,intermittent_software_hang_seed20260404_event02,intermittent_software_hang,AR-003,446,0.6223798780748171,Moderate,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 02:42:40+00:00,2026-07-01 02:51:58+00:00,20260404,gps_jitter_spoofing_seed20260404_event02,gps_jitter_spoofing,AR-004,558,0.6433099222559745,Moderate,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 02:45:27+00:00,2026-07-01 02:59:48+00:00,20260409,gradual_sensor_drift_seed20260409_event02,gradual_sensor_drift,AR-004,861,0.9456055713574968,Critical,Ramp drift injected into IMU accel_z and gyro_z to mimic gradual calibration drift.
2026-07-01 02:50:03+00:00,2026-07-01 02:55:54+00:00,20260404,intermittent_software_hang_seed20260404_event00,intermittent_software_hang,AR-005,351,0.86761060438672,Critical,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 03:03:17+00:00,2026-07-01 03:10:39+00:00,20260407,motor_stall_seed20260407_event02,motor_stall,AR-003,442,0.817069358923687,High,"Stalled drive: motor_current_fr_a; speed collapse, high current, rising thermal load."
2026-07-01 03:16:51+00:00,2026-07-01 03:22:11+00:00,20260408,intermittent_software_hang_seed20260408_event01,intermittent_software_hang,AR-002,320,0.869357877110072,Critical,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 03:26:58+00:00,2026-07-01 03:40:21+00:00,20260407,accelerated_battery_degradation_seed20260407_event02,accelerated_battery_degradation,AR-004,803,0.7897757984400217,High,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 04:04:19+00:00,2026-07-01 04:17:40+00:00,20260402,gps_jitter_spoofing_seed20260402_event02,gps_jitter_spoofing,AR-004,801,0.7464539396349881,Moderate,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 04:06:51+00:00,2026-07-01 04:14:45+00:00,20260409,intermittent_software_hang_seed20260409_event02,intermittent_software_hang,AR-002,474,0.965693313588948,Critical,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 04:10:02+00:00,2026-07-01 04:16:38+00:00,20260409,accelerated_battery_degradation_seed20260409_event02,accelerated_battery_degradation,AR-005,396,0.6821956376858823,Moderate,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 04:26:09+00:00,2026-07-01 04:31:10+00:00,20260409,gps_jitter_spoofing_seed20260409_event01,gps_jitter_spoofing,AR-003,301,0.7823014015068845,High,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 04:28:37+00:00,2026-07-01 04:35:27+00:00,20260403,gps_jitter_spoofing_seed20260403_event01,gps_jitter_spoofing,AR-005,410,0.789646949173404,High,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 04:37:49+00:00,2026-07-01 04:49:04+00:00,20260409,accelerated_battery_degradation_seed20260409_event01,accelerated_battery_degradation,AR-003,675,0.9033765255470396,Critical,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 04:39:05+00:00,2026-07-01 04:51:22+00:00,20260409,motor_stall_seed20260409_event01,motor_stall,AR-005,737,0.7047289431167324,Moderate,"Stalled drive: motor_current_rr_a; speed collapse, high current, rising thermal load."
2026-07-01 04:39:08+00:00,2026-07-01 04:43:47+00:00,20260409,gradual_sensor_drift_seed20260409_event01,gradual_sensor_drift,AR-001,279,0.7495426239271961,Moderate,Ramp drift injected into IMU accel_z and gyro_z to mimic gradual calibration drift.
2026-07-01 04:43:25+00:00,2026-07-01 04:48:28+00:00,20260406,accelerated_battery_degradation_seed20260406_event01,accelerated_battery_degradation,AR-005,303,0.8481289214538617,High,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 04:48:57+00:00,2026-07-01 04:58:08+00:00,20260406,gps_jitter_spoofing_seed20260406_event01,gps_jitter_spoofing,AR-004,551,0.6660619278567462,Moderate,"Spoofing-like GPS jitter injected through position jumps, HDOP degradation, and unstable fix quality."
2026-07-01 04:51:56+00:00,2026-07-01 04:59:42+00:00,20260402,intermittent_software_hang_seed20260402_event02,intermittent_software_hang,AR-004,466,0.7932840689237673,High,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 05:11:24+00:00,2026-07-01 05:22:34+00:00,20260402,intermittent_software_hang_seed20260402_event00,intermittent_software_hang,AR-002,670,0.800095450217741,High,Repeated telemetry freezes injected to mimic intermittent software hang or stale-packet behavior.
2026-07-01 05:12:08+00:00,2026-07-01 05:16:43+00:00,20260409,accelerated_battery_degradation_seed20260409_event00,accelerated_battery_degradation,AR-003,275,0.9262413596230192,Critical,Accelerated SoC drain and voltage sag injected during held-out operation.
2026-07-01 05:19:48+00:00,2026-07-01 05:32:44+00:00,20260402,motor_stall_seed20260402_event01,motor_stall,AR-001,776,0.7489253706919052,Moderate,"Stalled drive: motor_current_fl_a; speed collapse, high current, rising thermal load."
