timestamp,robot_id,mission_mode,terrain,location_zone,speed_mps,motor_current_mean_a,motor_temp_c,battery_voltage_v,battery_soc_pct,is_charging,wifi_rssi_dbm,gps_fix_quality,gps_hdop,task_success_probability,task_success_flag,missingness_flag
2026-07-01 00:00:00+00:00,AR-001,incident_response,asphalt,base_area,1.436392,17.74243075,35.139522,50.173127,94.950267,0,-44.683029,5.0,0.681922,0.984,1,0
2026-07-01 00:05:00+00:00,AR-001,incident_response,asphalt,base_area,1.582793,19.28299325,37.872109,50.032591,94.053112,0,-41.524219,5.0,0.45,0.984,1,0
2026-07-01 00:10:00+00:00,AR-001,incident_response,asphalt,base_area,1.529406,18.17839025,38.307728,49.950449,93.06328,0,-46.693072,5.0,0.602042,0.984,1,0
2026-07-01 00:15:00+00:00,AR-001,incident_response,gravel,open_perimeter,1.374995,19.626210999999998,40.994977,49.818843,92.224324,0,-53.595354,5.0,0.517989,0.984,1,0
2026-07-01 00:20:00+00:00,AR-001,incident_response,gravel,open_perimeter,1.286941,18.339318,39.884269,49.760609,91.405639,0,-56.115801,5.0,0.535557,0.984,1,0
2026-07-01 00:25:00+00:00,AR-001,incident_response,dry_grass,open_perimeter,1.199587,19.111980749999997,40.678822,49.643854,90.542546,0,-63.791303,4.0,1.350068,0.984,1,0
2026-07-01 00:30:00+00:00,AR-001,pursuit,dry_grass,tree_line,1.283894,19.9034175,40.807332,49.518489,89.606945,0,-68.791401,4.0,1.337694,0.984,1,0
2026-07-01 00:35:00+00:00,AR-001,pursuit,dry_grass,tree_line,1.29171,19.347824250000002,39.822636,49.442464,88.79917,0,-68.727439,4.0,1.132086,0.984,1,0
2026-07-01 00:40:00+00:00,AR-001,pursuit,wet_grass,tree_line,1.102909,22.30227375,45.050558,49.249897,87.765681,0,-73.17906,4.0,1.182185,0.984,1,0
2026-07-01 00:45:00+00:00,AR-001,pursuit,wet_grass,building_shadow,1.095653,21.66216825,44.821094,49.162985,86.841084,0,-73.159085,3.0,1.935756,0.984,1,0
2026-07-01 00:50:00+00:00,AR-001,pursuit,mud,building_shadow,0.888136,23.323286250000002,52.648951,49.022379,85.971292,0,-68.303694,3.0,1.869778,0.984,1,0
2026-07-01 00:55:00+00:00,AR-001,pursuit,mud,building_shadow,0.917416,23.58117125,53.620799,48.910658,85.033648,0,-67.822795,3.0,1.798274,0.984,1,0
2026-07-01 01:00:00+00:00,AR-001,perimeter,sand,remote_edge,0.470277,17.4686695,60.840581,48.949348,83.96012,0,-67.270307,4.0,1.3351,0.999,1,0
2026-07-01 01:05:00+00:00,AR-001,perimeter,sand,remote_edge,0.525753,19.321191000000002,62.300982,48.835104,83.370137,0,-67.969402,4.0,1.329293,0.999,1,0
2026-07-01 01:10:00+00:00,AR-001,perimeter,sand,remote_edge,0.555608,19.456656249999998,63.253794,48.722076,82.392405,0,-81.042367,3.0,1.748216,0.999,1,0
2026-07-01 01:15:00+00:00,AR-001,perimeter,rocky,base_area,0.822747,13.35305075,36.255862,48.800939,81.679632,0,-49.81415,5.0,0.617076,0.999,1,0
2026-07-01 01:20:00+00:00,AR-001,perimeter,rocky,base_area,0.771747,12.28368675,35.087451,48.729227,80.791095,0,-46.323416,5.0,0.51715,0.999,1,0
2026-07-01 01:25:00+00:00,AR-001,perimeter,asphalt,base_area,1.018808,14.311325749999998,36.887594,48.566365,79.807671,0,-54.1361,5.0,0.491785,0.999,1,0
2026-07-01 01:30:00+00:00,AR-001,incident_response,asphalt,open_perimeter,1.521087,18.4238425,39.088225,48.367643,78.988061,0,-62.251092,4.0,1.102637,0.984,1,0
2026-07-01 01:35:00+00:00,AR-001,incident_response,asphalt,open_perimeter,1.490557,18.343248,37.811719,48.273912,78.132472,0,-56.741511,5.0,0.71302,0.984,1,0
2026-07-01 01:40:00+00:00,AR-001,incident_response,gravel,open_perimeter,1.288134,18.2226235,38.57029,48.17743,77.243018,0,-57.845066,5.0,0.561356,0.984,1,0
2026-07-01 01:45:00+00:00,AR-001,incident_response,gravel,tree_line,1.280763,18.05881975,38.290485,48.075396,76.293978,0,-61.367341,4.0,1.197469,0.984,1,0
2026-07-01 01:50:00+00:00,AR-001,incident_response,dry_grass,tree_line,1.210458,19.070899,39.420375,47.933222,75.259511,0,-61.358405,4.0,1.143756,0.984,1,0
2026-07-01 01:55:00+00:00,AR-001,incident_response,dry_grass,tree_line,1.18682,18.68620775,40.493112,47.837981,74.319846,0,-68.185172,4.0,1.177851,0.984,1,0
2026-07-01 02:00:00+00:00,AR-001,perimeter,wet_grass,building_shadow,0.695758,16.5518765,45.394005,47.811497,73.587906,0,-77.544496,4.0,1.142934,0.999,1,0
2026-07-01 02:05:00+00:00,AR-001,perimeter,wet_grass,building_shadow,0.697801,15.704222750000001,46.829179,47.750784,72.84905,0,-75.342043,4.0,1.212219,0.999,1,0
2026-07-01 02:10:00+00:00,AR-001,perimeter,wet_grass,building_shadow,0.696181,15.5481485,47.705833,47.63074,71.740996,0,-82.491107,4.0,1.282873,0.999,1,0
2026-07-01 02:15:00+00:00,AR-001,perimeter,mud,remote_edge,0.540411,16.620382499999998,55.298705,47.510922,70.920105,0,-82.588445,4.0,1.215858,0.999,1,0
2026-07-01 02:20:00+00:00,AR-001,perimeter,mud,remote_edge,0.549975,16.2901475,55.641043,47.413051,69.969598,0,-77.924164,3.0,1.820903,0.999,1,0
2026-07-01 02:25:00+00:00,AR-001,perimeter,sand,remote_edge,0.536258,19.98908725,65.458295,47.235296,69.24118,0,-71.600295,3.0,1.792259,0.999,1,0
2026-07-01 02:30:00+00:00,AR-001,coverage,sand,base_area,0.547853,19.56753275,62.394375,47.160565,68.476082,0,-47.617093,5.0,0.462728,0.999,1,0
2026-07-01 02:35:00+00:00,AR-001,coverage,sand,base_area,0.520949,19.17124275,63.981477,47.049219,67.389926,0,-45.772399,5.0,0.45,0.999,1,0
2026-07-01 02:40:00+00:00,AR-001,coverage,rocky,base_area,0.744627,12.2843605,34.677244,47.102762,66.269243,0,-49.814894,5.0,0.473488,0.999,1,0
2026-07-01 02:45:00+00:00,AR-001,coverage,rocky,open_perimeter,0.785845,12.64569975,35.4476,47.015306,65.572269,0,-55.810911,5.0,0.66189,0.999,1,0
2026-07-01 02:50:00+00:00,AR-001,coverage,asphalt,open_perimeter,0.99573,13.9742805,35.129753,46.901939,64.868484,0,-56.804723,5.0,0.562283,0.999,1,0
2026-07-01 02:55:00+00:00,AR-001,coverage,asphalt,open_perimeter,1.033404,13.695203,36.833425,46.785741,63.766217,0,-64.107659,4.0,1.138455,0.999,1,0
2026-07-01 03:00:00+00:00,AR-001,perimeter,gravel,tree_line,0.880649,14.20470625,40.164646,46.674587,62.892051,0,-69.668959,4.0,1.163999,0.999,1,0
2026-07-01 03:05:00+00:00,AR-001,perimeter,gravel,tree_line,0.823583,13.33812075,40.601154,46.620883,62.211373,0,-64.086511,4.0,1.180865,0.999,1,0
2026-07-01 03:10:00+00:00,AR-001,perimeter,gravel,tree_line,0.879262,13.99754475,41.060846,46.49826,61.269605,0,-65.093641,5.0,0.590874,0.999,1,0
2026-07-01 03:15:00+00:00,AR-001,perimeter,dry_grass,building_shadow,0.776693,13.45869725,42.798049,46.416234,60.412147,0,-63.182631,3.0,1.924277,0.999,1,0
2026-07-01 03:20:00+00:00,AR-001,perimeter,dry_grass,building_shadow,0.82498,14.5113205,43.88896,46.271256,59.362058,0,-63.429115,3.0,1.888985,0.999,1,0
2026-07-01 03:25:00+00:00,AR-001,perimeter,wet_grass,building_shadow,0.718798,16.29835275,50.189733,46.127698,58.495132,0,-72.679226,4.0,1.217017,0.999,1,0
2026-07-01 03:30:00+00:00,AR-001,coverage,wet_grass,remote_edge,0.763771,17.2652145,48.994895,46.013708,57.701817,0,-81.853961,3.0,1.897104,0.999,1,1
2026-07-01 03:35:00+00:00,AR-001,coverage,wet_grass,remote_edge,0.699794,16.710534,47.978772,45.919324,56.730342,0,-83.610549,3.0,1.862306,0.999,1,0
2026-07-01 03:40:00+00:00,AR-001,coverage,mud,remote_edge,0.555996,16.300438999999997,55.718195,45.831691,55.852697,0,-90.305588,4.0,1.241904,0.9969,1,0
2026-07-01 03:45:00+00:00,AR-001,coverage,mud,base_area,0.540775,16.2500295,55.95355,45.743586,55.054342,0,-45.881262,5.0,0.529989,0.999,1,0
2026-07-01 03:50:00+00:00,AR-001,coverage,sand,base_area,0.514681,19.12868975,65.038644,45.589377,54.345738,0,-47.821386,5.0,0.479904,0.999,1,0
